0.046,0.186,0.235,0.164,0.137,0.084,0.052,0.037,0.023,0.018,0.011,0.001,0.001,0,0.001,0.002,0.001,0.001,0,0
0.031,0.193,0.249,0.18,0.113,0.096,0.057,0.03,0.02,0.008,0.012,0.005,0.002,0.003,0,0.001,0,0,0,0
0.02,0.136,0.208,0.215,0.139,0.097,0.073,0.03,0.032,0.017,0.014,0.008,0.003,0.002,0.004,0.001,0.001,0,0,0
0.027,0.128,0.202,0.215,0.157,0.088,0.073,0.039,0.022,0.019,0.007,0.011,0.005,0.002,0.002,0.001,0.001,0,0,0.001
0.002,0.035,0.071,0.116,0.126,0.103,0.104,0.083,0.073,0.065,0.042,0.042,0.024,0.018,0.025,0.013,0.013,0.004,0.009,0.032
0.031,0.182,0.218,0.211,0.119,0.09,0.064,0.035,0.023,0.012,0.005,0.006,0.002,0.001,0,0,0.001,0,0,0
0.002,0.024,0.094,0.111,0.107,0.114,0.095,0.083,0.083,0.059,0.052,0.031,0.026,0.027,0.025,0.016,0.011,0.006,0.007,0.027
0.017,0.151,0.195,0.206,0.135,0.105,0.067,0.043,0.032,0.017,0.01,0.008,0.006,0.002,0.002,0.001,0.001,0.001,0,0.001
0.003,0.035,0.081,0.125,0.103,0.102,0.099,0.08,0.075,0.058,0.044,0.051,0.028,0.022,0.02,0.015,0.017,0.006,0.007,2.89999999999999E-02
0.021,0.129,0.202,0.179,0.161,0.102,0.072,0.053,0.023,0.023,0.011,0.006,0.007,0.005,0.001,0.002,0.001,0.002,0,0
0.02,0.126,0.201,0.185,0.17,0.107,0.068,0.034,0.035,0.021,0.015,0.008,0.001,0.006,0.001,0,0.001,0.001,0,0
0.003,0.034,0.089,0.103,0.114,0.105,0.092,0.1,0.067,0.063,0.046,0.04,0.023,0.028,0.018,0.015,0.015,0.01,0.012,0.023
0.004,0.035,0.079,0.118,0.109,0.111,0.107,0.087,0.059,0.058,0.056,0.039,0.038,0.017,0.023,0.011,0.011,0.007,0.003,2.79999999999999E-02
0.031,0.188,0.235,0.176,0.126,0.086,0.057,0.046,0.018,0.013,0.005,0.009,0.004,0.004,0,0,0,0,0.001,0.001
0.001,0.045,0.084,0.097,0.101,0.099,0.111,0.094,0.074,0.059,0.052,0.028,0.025,0.034,0.018,0.019,0.018,0.007,0.006,2.79999999999999E-02
0.001,0.035,0.083,0.102,0.103,0.101,0.116,0.092,0.063,0.063,0.042,0.03,0.032,0.027,0.027,0.018,0.01,0.011,0.01,3.39999999999999E-02
0.003,0.042,0.088,0.088,0.117,0.11,0.109,0.085,0.06,0.059,0.049,0.036,0.034,0.026,0.024,0.017,0.012,0.009,0.004,2.79999999999999E-02
0.003,0.035,0.095,0.106,0.119,0.129,0.085,0.086,0.072,0.045,0.034,0.045,0.025,0.022,0.019,0.02,0.021,0.007,0.006,2.59999999999999E-02
0.007,0.046,0.085,0.105,0.109,0.111,0.108,0.087,0.055,0.058,0.053,0.033,0.035,0.027,0.021,0.011,0.015,0.01,0.006,1.79999999999998E-02
